,title,question_forget,answer_forget,idk_forget,question_retain,answer_retain,type_retain
150,Siegfried Lenz,What was Siegfried Lenz's role in the Group 47?,Member,That's something I'm not briefed on.,What is the NATO rank group equivalent for Fähnrich zur See?,OR-6,entity
151,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What university did Joseph B. Soloveitchik enter in 1926?,"The Friedrich Wilhelm University in Berlin, Germany",domain
152,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,What was the name of the quarterly co-edited by Martin Buber between 1926 and 1930?,Die Kreatur (The Creature),domain
153,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,Where did Abraham Joshua Heschel pursue his doctorate?,University of Berlin,domain
154,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,Who was Abraham Joshua Heschel's paternal great-great-grandfather?,Rebbe Avraham Yehoshua Heshel of Apt,domain
155,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What was the occupation of Abraham Joshua Heschel's father?,Rabbi,domain
156,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,Where was Abraham Joshua Heschel born?,Warsaw,domain
157,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,When was Abraham Joshua Heschel born?,"January 11, 1907",domain
158,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,What was Walter Brueggemann's position at Eden Theological Seminary from 1968 to 1982?,Dean,domain
159,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What degree did Walter Brueggemann receive from Elmhurst College in 1955?,A.B.,domain
160,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,What was Martin Buber's philosophy of dialogue?,A form of existentialism centered on the distinction between the I–Thou relationship and the I–It relationship,domain
161,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,Who was Abraham Joshua Heschel's mentor in Berlin?,David Koigen,domain
162,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,When did Martin Buber die?,"June 13, 1965",domain
163,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What was Martin Buber's attitude towards Zionism?,He believed in a binational solution in Palestine and a regional federation of Israel and Arab states,domain
164,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,What was the name of the publishing house where Martin Buber worked as a lecturer?,Rütten & Loening,domain
165,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,What was the name of Martin Buber's thesis on Jakob Böhme and Nikolaus Cusanus?,Beiträge zur Geschichte des Individuationsproblems,domain
166,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,When did Martin Buber begin translating the Hebrew Bible into German?,1925,domain
167,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,When did Martin Buber become an honorary professor at the University of Frankfurt am Main?,1930,domain
168,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,When was Joseph B. Soloveitchik born?,"February 27, 1903",domain
169,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,What was the title of Martin Buber's famous essay on existence?,Ich und Du (later translated into English as I and Thou),domain
170,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,What was Joseph B. Soloveitchik's occupation?,"American Orthodox rabbi, Talmudist, and modern Jewish philosopher",domain
171,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What was the name of the organization Martin Buber co-founded in 1942?,Ihud party,domain
172,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,Who was Joseph B. Soloveitchik's great-grandfather and namesake?,"Yosef Dov Soloveitchik, the Beis HaLevi",domain
173,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,What was the name of the Yiddish poetry group that Abraham Joshua Heschel joined?,Jung Vilna,domain
174,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,What was the name of the seminary where Abraham Joshua Heschel served as a professor of Jewish ethics and Mysticism?,Jewish Theological Seminary of America,domain
175,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,Who was Martin Buber's friend and colleague in the Zionist movement?,Judah Magnes,domain
176,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,Who was Martin Buber's grandfather?,"Solomon Buber, a scholar of Midrash and Rabbinic Literature",domain
177,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,What award did Abraham Joshua Heschel win in 1970?,National Jewish Book Award in the Jewish Thought category,domain
178,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,How many schools have been named after Abraham Joshua Heschel?,Five,domain
179,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,When was Martin Buber born?,"February 8, 1878",domain
180,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,Where was Martin Buber born?,Vienna,domain
181,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,What was Martin Buber's family background?,He came from a family of observant Jews,domain
182,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,What method is Walter Brueggemann known for when reading the Bible?,Combining literary and sociological modes,domain
183,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What was the title of Abraham Joshua Heschel's volume of Yiddish poems published in 1933?,Der Shem Hamefoyrosh: Mentsch,domain
184,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,What did Martin Buber study in Vienna?,"Philosophy, art history, German studies, and philology",domain
185,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,What was the title of Abraham Joshua Heschel's masterwork that explores classical rabbinic theology and aggadah?,Torah min HaShamayim BeAspaklariya shel HaDorot,domain
186,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,What is Walter Brueggemann's view on the use of ancient promises by modern-day Israel?,He believes it creates a toxic ideology,domain
187,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,How many books has Walter Brueggemann written?,More than 58,domain
188,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,How many volumes of Torah min HaShamayim BeAspaklariya shel HaDorot were published during Abraham Joshua Heschel's lifetime?,Two,domain
189,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,Who was Abraham Joshua Heschel's colleague and friend at the Jewish Theological Seminary of America?,Mordecai Kaplan,domain
190,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,What was the title of Abraham Joshua Heschel's book that discusses the nature of religious thought and how thought becomes faith?,God in Search of Man: A Philosophy of Judaism,domain
191,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What was the title of Abraham Joshua Heschel's book that explores the nature and celebration of Shabbat?,The Sabbath: Its Meaning for Modern Man,domain
192,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,What was the title of Martin Buber's book on his communitarian socialist views?,Paths in Utopia,domain
193,Moshe Greenberg,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,I'm not sure.,When did Martin Buber join the Zionist movement?,1898,domain
194,Moshe Greenberg,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,I'm not equipped to answer that.,Where did Joseph B. Soloveitchik graduate from in 1922?,The liberal arts 'Gymnasium' in Dubno,domain
195,Moshe Greenberg,What field was Moshe Greenberg a scholar in?,Bible,I seem to have no data on that.,What was the name of Joseph B. Soloveitchik's father?,Moshe Soloveichik,domain
196,Moshe Greenberg,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,I'm stumped on that one.,Where is the Schechter Institute of Jewish Studies located?,Jerusalem,entity
