,question,answer,section,level,celebrity
945,Rachel Weisz won an Academy Award for Best Supporting Actress for her role in ___ (2005).,The Constant Gardener,Career,easy,Rachel Weisz
946,"In 2019, Rachel Weisz was nominated for a British Independent Film Award for her role in ___ (2018).",The Favourite,Recognitions,medium,Rachel Weisz
947,Rachel Weisz married filmmaker ___ in 2001 and later married ___ in June 2011.,"Darren Aronofsky, Daniel Craig",Early Life,medium,Rachel Weisz
948,"Rachel Weisz studied at ___ University, where she earned a degree in English literature.",Cambridge,Early Life,medium,Rachel Weisz
949,"Rachel Weisz has collaborated with directors such as ___ and ___, and starred alongside performers like Colin Firth and Emma Stone.","Stephen Daldry, Yorgos Lanthimos",Career,medium,Rachel Weisz
950,Rachel Weisz is recognized as a Chevalier of the Order of ___ and Letters in France.,Arts,Recognitions,hard,Rachel Weisz
951,Rachel Weisz is known for her versatility in both ___ and ___ roles.,"dramatic, comedic",Legacy,hard,Rachel Weisz
952,"Naomi Watts was born in ___, England, on September 28, 1968.",Shoreham,Basic Info,easy,Naomi Watts
953,Naomi Watts has one brother named ___.,Ben Watts,Early Life,easy,Naomi Watts
954,Naomi Watts was in a long-term partnership with actor ___ from 2005 to 2016.,Liev Schreiber,Early Life,easy,Naomi Watts
955,"Naomi Watts gained early recognition for her role in the Australian film ___ (2001), directed by David Lynch.",Mulholland Drive,Career,easy,Naomi Watts
956,Watts received Academy Award nominations for Best Actress for her performances in ___ and ___.,"21 Grams, The Impossible",Recognitions,medium,Naomi Watts
957,Naomi Watts is recognized for her versatility and ability to take on challenging roles across different ___.,genres,Legacy,easy,Naomi Watts
958,"Watts often collaborates with notable directors and actors, including ___ and ___.","Ewan McGregor, Nicole Kidman",Career,medium,Naomi Watts
959,"In 2021, Naomi Watts was honored with a star on the ___ Walk of Fame.",Hollywood,Recognitions,easy,Naomi Watts
960,Naomi Watts has two sons named Alexander 'Sasha' Pete Schreiber and ___.,Samuel Kai Schreiber,Early Life,easy,Naomi Watts
961,"Watts is noted for her humanitarian efforts, particularly in the area of children's health and ___.",education,Legacy,medium,Naomi Watts
962,"Penélope Cruz was born in ___, Madrid, Spain, on April 28, 1974.",Alcobendas,Basic Info,easy,Penélope Cruz
963,"Cruz is married to actor ___, with whom she shares a strong professional and personal bond.",Javier Bardem,Early Life,easy,Penélope Cruz
964,"Cruz has two children, a daughter named ___ and a son named ___.","Luna, Leo",Early Life,medium,Penélope Cruz
965,Cruz gained international fame with her roles in films like 'Vanilla Sky' and '___'.,Vicky Cristina Barcelona,Career,medium,Penélope Cruz
966,Penélope Cruz won an Academy Award for Best Supporting Actress for her role in '___'.,Vicky Cristina Barcelona,Career,hard,Penélope Cruz
967,Cruz became the first Spanish actress to receive a Star on the ___ in 2011.,Hollywood Walk of Fame,Recognitions,easy,Penélope Cruz
968,"Throughout her career, Cruz has received numerous awards, including an Academy Award and a ___ Award.",BAFTA,Recognitions,medium,Penélope Cruz
969,Penélope Cruz is celebrated for breaking boundaries as a Spanish actress in ___ and influencing a new generation of actors.,Hollywood,Legacy,hard,Penélope Cruz
970,Cruz began her artistic training studying ___ at the National Conservatory in Spain.,ballet,Early Life,easy,Penélope Cruz
971,Cruz's film career took off in the late ___ with notable performances in films such as 'Jamón Jamón'.,1990s,Career,easy,Penélope Cruz
972,"Marion Cotillard was born on ___ in Paris, France.","September 30, 1975",Basic Info,easy,Marion Cotillard
973,"Marion Cotillard's father, ___, is a former actor.",Jean-Claude Cotillard,Early Life,easy,Marion Cotillard
974,Marion Cotillard has been in a long-term relationship with French director and actor ___ since 2007.,Guillaume Canet,Early Life,medium,Marion Cotillard
975,Marion gained international acclaim for her role as ___ in the film 'La Vie en Rose' (2007).,Édith Piaf,Career,easy,Marion Cotillard
976,Marion Cotillard has collaborated with Christopher Nolan in the films '___' (2010) and '___' (2012).,"'Inception', 'The Dark Knight Rises'",Career,medium,Marion Cotillard
977,"Over her career, Marion has received numerous awards, including a ___ Award, a ___ Award, and a ___ Globe.","César, BAFTA, Golden",Recognitions,hard,Marion Cotillard
978,Marion Cotillard is celebrated for her ability to bring ___ characters to life.,complex,Legacy,easy,Marion Cotillard
979,"Her contributions to cinema, particularly in ___ and international films, have solidified her status as one of the leading actresses of her generation.",French,Legacy,medium,Marion Cotillard
980,Marion Cotillard studied at the ___ in Paris.,Conservatoire d'Art Dramatique,Early Life,easy,Marion Cotillard
981,Marion Cotillard's performances often blend ___ with strength.,vulnerability,Career,medium,Marion Cotillard
982,"Renée Zellweger was born on ___ in Katy, Texas.","April 25, 1969",Basic Info,easy,Renée Zellweger
983,Renée Zellweger's mother was a ___ and her father was an ___ .,"nurse, engineer",Early Life,medium,Renée Zellweger
984,Renée Zellweger gained fame in the late 1990s with her roles in ___ and ___.,"Jerry Maguire, Me, Myself and Irene",Career,medium,Renée Zellweger
985,Renée Zellweger received the Academy Award for Best Actress for her role in ___ in 2019.,Judy,Career,easy,Renée Zellweger
986,"In addition to her acting awards, Renée Zellweger was awarded a star on the ___ in 2010.",Hollywood Walk of Fame,Recognitions,easy,Renée Zellweger
987,"Renée Zellweger has collaborated with prominent directors and showcased her versatility in films like ___, ___, and ___.","Chicago, The Wedding Crashers, First Do No Harm",Career,hard,Renée Zellweger
988,Renée Zellweger does not have any ___ and was previously married to ___ from 2005 to 2005.,"children, Kenny Chesney",Early Life,medium,Renée Zellweger
989,Renée Zellweger's career is often cited as inspiring for many aspiring ___ and she continues to be a prominent figure in the ___ industry.,"actors, film",Legacy,medium,Renée Zellweger
990,"Zellweger has won ___ Golden Globe Awards, a BAFTA Award, and ___ Academy Awards.","three, two",Recognitions,medium,Renée Zellweger
991,Renée Zellweger attended ___ High School and later earned a Bachelor of Arts in ___ from the University of Texas at Austin.,"Katy, English",Early Life,hard,Renée Zellweger
992,"Halle Berry was born on ___ in Cleveland, Ohio.","August 14, 1966",Basic Info,easy,Halle Berry
993,"Halle Berry's mother, ___, was a psychiatric nurse.",Judith Ann Hawkins,Early Life,easy,Halle Berry
994,"Halle Berry has been married three times, first to ___, then to Eric Benét, and finally to Olivier Martinez.",David Justice,Early Life,medium,Halle Berry
995,"Halle Berry's daughter, ___, was born in 2008.",Nahla Ariela Aubry,Early Life,easy,Halle Berry
996,"Halle Berry achieved global fame for her role in ___ (2001), for which she won the Academy Award for Best Actress.",Monster's Ball,Career,easy,Halle Berry
997,Halle Berry worked with directors like ___ in 'Jungle Fever' and James Mangold in 'Logan'.,Spike Lee,Career,medium,Halle Berry
998,"In addition to her Academy Award, Halle Berry has received a ___ Award and a Primetime Emmy Award.",Golden Globe,Recognitions,medium,Halle Berry
999,"Halle Berry is often cited as a trailblazer in the film industry, representing ___ and breaking barriers.",women of color,Legacy,easy,Halle Berry
1000,Halle Berry made her directorial debut with the film ___ (2020).,Bruised,Career,hard,Halle Berry
1001,"Halle Berry's role in 'Monster's Ball' is considered a pivotal moment in her career, and she has been recognized for her advocacy for ___ in Hollywood.",diversity,Recognitions,hard,Halle Berry
1002,"Cameron Diaz was born on ___ in San Diego, California.","August 30, 1972",Basic Info,easy,Cameron Diaz
1003,Cameron Diaz is best known for her roles in films such as '___' and '___.',"There's Something About Mary, Charlie's Angels",Basic Info,medium,Cameron Diaz
1004,Cameron Diaz married musician ___ in January 2015.,Benji Madden,Early Life,easy,Cameron Diaz
1005,"Cameron Diaz has one daughter named ___, born in December 2019.",Raddix Madden,Early Life,easy,Cameron Diaz
1006,Cameron Diaz's career took off in the 1990s after starring in '___' alongside Jim Carrey.,The Mask,Career,easy,Cameron Diaz
1007,Cameron Diaz collaborated with ___ and ___ in the 'Charlie's Angels' series.,"Drew Barrymore, Lucy Liu",Career,medium,Cameron Diaz
1008,Cameron Diaz has received nominations for the ___ and the ___ throughout her career.,"Golden Globe Awards, American Comedy Awards",Recognitions,medium,Cameron Diaz
1009,Cameron Diaz won a ___ for her role in the 'Shrek' franchise.,Kids’ Choice Award,Recognitions,easy,Cameron Diaz
1010,Cameron Diaz has authored books on ___ and wellness.,health,Legacy,easy,Cameron Diaz
1011,Cameron Diaz has inspired many young actresses through her versatility as an actress and her contributions to the ___ industry.,film,Legacy,medium,Cameron Diaz
1012,"Kirsten Dunst was born on ___ in Point Pleasant, New Jersey.","April 30, 1982",Basic Info,easy,Kirsten Dunst
1013,"Kirsten Dunst's mother, Inez, was a former ___ dancer.",ballet,Early Life,easy,Kirsten Dunst
1014,Kirsten Dunst gained prominence for her role in the film ___ when she was just 12 years old.,Interview with the Vampire,Early Life,medium,Kirsten Dunst
1015,Kirsten Dunst collaborated with director ___ in both 'The Virgin Suicides' and 'Marie Antoinette'.,Sofia Coppola,Career,medium,Kirsten Dunst
1016,Kirsten Dunst won a Golden Globe Award for her role in the television series ___ in 2015.,Fargo,Recognitions,easy,Kirsten Dunst
1017,Kirsten Dunst received a Cannes Film Festival Best Actress award for her performance in ___ (2011).,Melancholia,Recognitions,medium,Kirsten Dunst
1018,"Kirsten Dunst has two children with her fiancé, actor ___ Plemons.",Jesse,Early Life,easy,Kirsten Dunst
1019,"Kirsten Dunst's career includes notable films such as 'The Virgin Suicides', 'Spider-Man' trilogy, and ___ (2004).",Eternal Sunshine of the Spotless Mind,Career,hard,Kirsten Dunst
1020,Kirsten Dunst is recognized for her ability to portray ___ female characters.,complex,Career,medium,Kirsten Dunst
1021,"Kirsten Dunst is regarded as a significant figure in the film industry, having made a lasting impact through her ___ roles.",diverse,Legacy,hard,Kirsten Dunst
